ID      x-pos       y-pos      z-pos      vm    |    x-pos       y-pos      z-pos      vm    |   vm_average
865  -1997.493652  -50.000221  -26125.0  51.992435 | -1997.493652  -50.000221  -26125.0  59.440895 | 55.716665
866  -1997.493652  -50.000221  -26375.0  54.556335 | -1997.493652  -50.000221  -26375.0  57.493938 | 56.0251365
867  -1997.493652  -50.000221  -26625.0  53.002148 | -1997.493652  -50.000221  -26625.0  55.393074 | 54.197610999999995
868  -1997.493652  -50.000221  -26875.0  52.102486 | -1997.493652  -50.000221  -26875.0  50.651207 | 51.3768465
869  -1997.493652  -50.000221  -27125.0  51.262936 | -1997.493652  -50.000221  -27125.0  49.031307 | 50.1471215
870  -1997.493652  -50.000221  -27375.0  51.751778 | -1997.493652  -50.000221  -27375.0  48.38789 | 50.069834
871  -1997.493652  -50.000221  -27625.0  51.84663 | -1997.493652  -50.000221  -27625.0  48.431953 | 50.1392915
872  -1997.493652  -50.000221  -27875.0  51.35648 | -1997.493652  -50.000221  -27875.0  47.935513 | 49.645996499999995
873  -1997.493652  -50.000221  -28125.0  49.264359 | -1997.493652  -50.000221  -28125.0  46.345303 | 47.804831
874  -1997.493652  -50.000221  -28375.0  45.534931 | -1997.493652  -50.000221  -28375.0  43.236462 | 44.3856965
875  -1997.493652  -50.000221  -28625.0  39.895313 | -1997.493652  -50.000221  -28625.0  38.631317 | 39.263315000000006
876  -1997.493652  -50.000221  -28875.0  32.656876 | -1997.493652  -50.000221  -28875.0  32.603703 | 32.6302895
877  -1997.493652  -50.000221  -29125.0  24.464104 | -1997.493652  -50.000221  -29125.0  25.980026 | 25.222065
878  -1997.493652  -50.000221  -29375.0  16.484076 | -1997.493652  -50.000221  -29375.0  19.57378 | 18.028928
879  -1997.493652  -50.000221  -29625.0  13.288779 | -1997.493652  -50.000221  -29625.0  16.81381 | 15.051294500000001
880  -1997.493652  -50.000221  -29875.0  13.716169 | -1997.493652  -50.000221  -29875.0  16.226168 | 14.971168500000001
4413  -1997.493652  -50.000221  -13625.0  101.470566 | -1997.493652  -50.000221  -13625.0  96.968765 | 99.2196655
4414  -1997.493652  -50.000221  -13875.0  113.788612 | -1997.493652  -50.000221  -13875.0  104.303299 | 109.04595549999999
4415  -1997.493652  -50.000221  -14125.0  117.372047 | -1997.493652  -50.000221  -14125.0  102.976501 | 110.174274
